buoc,loss_train,learning_rate,giay_moi_buoc,token_moi_giay
12800,1.104681670665741,0.0007,1.4287024311799996,13716.7261511652
12850,1.1653969585895538,0.0007,1.4496123294399967,13639.881227857919
12900,1.1989740133285522,0.0007,1.4188150697400033,13786.870760813486
12950,1.0815929174423218,0.0007,1.4238449657599994,13719.06385157145
13000,1.161120057106018,0.0007,1.4203865450000013,13725.869249204965
13000,,,,
13050,1.1674759685993195,0.0007,1.4460852322999926,13619.363202178314
13100,1.0824623703956604,0.0007,1.4456202890200074,13691.575962466355
13150,1.0913271009922028,0.0007,1.424303534540004,13760.690417952143
13200,1.1355546712875366,0.0007,1.4270587199600049,13718.804787898765
13250,1.1497720777988434,0.0007,1.433023129059993,13736.219326000788
13300,1.0831922590732574,0.0007,1.4177663517000019,13808.636364183203
13350,1.1521652936935425,0.0007,1.4284969047199956,13744.096984129208
13400,1.1630610823631287,0.0007,1.451058415460011,13604.786540410676
13450,1.0732519328594208,0.0007,1.4171089913799915,13751.941536283979
13500,1.1020152270793915,0.0007,1.4303336311199928,13784.546186305784
13550,1.0948953330516815,0.0007,1.4307166816000063,13757.762283156924
13600,1.1043560057878494,0.0007,1.4096063314999991,13841.041689447045
13650,1.0743620991706848,0.0007,1.4285646194199944,13737.243477279788
13700,1.050752192735672,0.0007,1.4256001170399941,13790.416937408589
13750,1.13619264960289,0.0007,1.4236220571600098,13697.806873617594
13800,1.0656731724739075,0.0007,1.438789970079997,13731.955609129998
13850,1.1426310539245605,0.0007,1.4203169738199903,13766.377759615567
13900,1.1656336784362793,0.0007,1.4502275723799902,13621.186340831811
13950,1.140531599521637,0.0007,1.4118161576400052,13828.372691693008
14000,1.0538890957832336,0.0007,1.434811404259999,13673.880721709682
14000,,,,
14050,1.1042191684246063,0.0007,1.7853394486599974,11027.381943964057
14100,1.1167099177837372,0.0007,1.4397120063399962,13634.018410321214
14150,1.0455711036920547,0.0007,1.432206429020007,13674.495242561445
14200,1.0638397783041,0.0007,1.4246796852599983,13749.013341497377
14250,1.1258794665336609,0.0007,1.432576352019987,13706.480616068446
14300,1.0252404659986496,0.0007,1.4406154230599895,13661.86956279756
14350,1.062701165676117,0.0007,1.4435379098999874,13595.763481791584
14400,1.1056927740573883,0.0007,1.422316151140003,13769.526546051451
14450,1.1122923791408539,0.0007,1.4204256170400003,13816.351778346829
14500,1.0085076838731766,0.0007,1.446885914559989,13605.730625960701
14550,1.1049134135246277,0.0007,1.4070925838799848,13888.680975143887
14600,1.0776125192642212,0.0007,1.4316764462799982,13713.30795516929
14650,1.0244364887475967,0.0007,1.4264316480600063,13768.20265219874
14700,1.0614081919193268,0.0007,1.4264032966800004,13791.751635591847
14750,1.0695627927780151,0.0007,1.4180351126000097,13807.11932026941
14800,1.0717144906520844,0.0007,1.441016400640001,13663.911105560688
14850,1.0082364231348038,0.0007,1.435224082620007,13677.30672702019
14900,1.0084239691495895,0.0007,1.4065858013400065,13914.899454661027
14950,1.0886126458644867,0.0007,1.4239695547200062,13751.06647125627
15000,0.9719303846359253,0.0007,1.4412829645599958,13668.127969592724
15000,,,,
15050,1.0400500297546387,0.0007,1.4592163950200119,13472.038874488111
15100,1.0252627283334732,0.0007,1.4178937125800075,13818.214881811487
